"","GSM2577895","GSM2577932","GSM2577976","GSM2577988","GSM2578061","GSM2578072","GSM2578181","GSM2578228","GSM2578242","GSM2578442","GSM2578450","GSM2578593","GSM2578614","GSM2578635","GSM2578710","GSM2578752"
"LOC440359",9.263325,9.932201,8.659323,9.344607,9.123107,9.107967,9.229825,7.848192,9.923555,8.968677,8.958144,8.965366,8.670798,8.421385,9.019783,8.581382
"LOC440366",6.217464,6.545684,7.050082,6.552679,6.256666,6.706803,7.092668,6.576317,7.799257,6.878283,6.832174,6.508807,6.583702,7.124982,7.062512,6.838026
"LOC440386",5.002965,5.268406,5.377454,5.555196,5.203093,5.117576,5.645927,4.749466,5.239803,5.708829,5.677844,5.176292,4.8942,5.57372,5.367197,5.631427
"LOC440389",4.580851,4.961933,4.640813,4.573596,5.105091,4.7168,5.042824,5.081453,5.173754,4.832121,4.775856,4.553882,4.96155,4.841014,4.670416,4.665242
"LOC440396",5.673287,5.579347,5.921572,5.688133,5.634861,5.652495,5.809554,5.98027,5.787125,5.88842,5.775776,5.677095,5.649067,5.822428,5.932145,5.657168
"LOC440421",4.6766,4.523619,4.535443,4.809288,4.858044,4.422466,5.379821,4.869926,4.561962,4.972058,4.780845,4.716751,4.568224,4.689838,4.716467,4.322785
"LOC440438",5.008386,4.981588,5.143427,5.022159,4.65914,5.003706,5.000983,4.586912,4.689259,4.430344,4.77272,4.827575,5.088016,5.113343,4.601009,4.660056
"LOC440456",4.807433,5.080441,4.749775,4.844459,4.833717,4.777803,5.058773,4.632928,4.87591,4.874398,4.941404,5.164325,5.086877,5.203962,5.03295,4.967169
"LOC440459",5.034523,5.314559,5.354088,5.409633,5.088084,5.453057,5.749626,4.866268,4.874394,5.037596,5.252042,5.477345,4.978976,4.958204,4.787241,5.142764
"LOC440461",4.673479,4.564064,4.562654,4.474614,4.483628,4.715484,4.536837,4.415206,4.701395,4.872285,4.425151,4.955886,4.619822,4.463903,4.686219,4.889902
"LOC440487",8.244772,8.377299,8.508341,9.090393,8.483849,8.707248,8.570238,9.434045,8.71475,9.281162,9.126067,8.582686,8.709904,9.150387,9.005776,8.421385
"LOC440498",6.403009,6.096744,6.690867,6.327876,6.098584,6.817923,6.850627,5.951505,6.505821,6.846079,6.674239,5.624357,6.219106,6.164053,5.647855,5.683631
"LOC440508",5.000364,4.902001,5.068861,4.96271,4.681428,4.556047,4.808844,4.555998,4.697769,4.651942,4.647741,4.99012,4.776634,5.053769,4.972285,4.646404
"LOC440509",4.510703,5.153404,4.632777,4.744697,4.730839,5.454659,5.745281,5.232411,4.980661,5.522313,5.16071,5.127062,5.599353,5.536777,4.922946,5.539369
"LOC440518",4.740626,4.730734,5.224207,4.430476,4.727466,5.124184,5.085084,4.575749,5.793645,4.676443,4.53984,4.892744,4.735928,4.914029,4.901308,4.764842
"LOC440525",5.510113,6.738885,5.995421,6.435494,6.168822,6.752575,6.846079,5.590669,6.164053,7.238945,6.052404,6.542949,5.458548,5.778619,6.854562,6.504936
"LOC440551",4.664232,4.666172,4.905852,4.894926,4.666558,4.770408,4.69997,4.8942,4.765242,4.609987,4.497152,4.37942,4.7485,4.846527,4.455123,4.567743
"LOC440563",6.024185,6.422002,6.183067,5.54674,6.051379,6.054215,6.031554,5.937749,6.338452,7.155444,5.768848,5.985183,6.26648,5.823381,5.995683,6.032059
"LOC440575",14.20315,14.24091,14.0812,14.37145,14.29679,14.37693,14.24743,14.40865,14.21348,14.19943,14.47406,14.34932,14.32914,14.26965,14.21689,14.20983
"LOC440577",5.054337,4.924768,5.160255,4.764769,4.89452,4.948729,4.939051,4.682389,5.288678,5.158784,4.637037,4.556277,4.830884,5.187307,4.960057,4.888303
"LOC440589",14.13215,13.82385,14.15157,14.05557,14.28418,14.03733,14.48451,13.91674,14.2331,14.05687,13.8887,13.88917,14.56092,14.17056,14.11003,13.87505
"LOC440595",13.06575,13.07396,13.14113,13.45213,13.16027,13.10988,13.17203,13.15023,13.07435,13.23065,13.34131,13.02713,13.20903,13.27089,13.45363,13.16864
"LOC440704",9.42913,10.16389,10.13296,10.51967,10.09769,10.42246,9.842052,10.35094,9.864576,10.29477,10.69332,10.56394,10.43342,10.06472,9.876217,10.33877
"LOC440731",7.219341,7.79294,7.114816,7.375556,6.778165,7.587186,7.528113,6.497439,6.602169,7.521561,7.416019,7.747421,6.799849,6.123055,7.594411,7.139316
"LOC440733",14.49907,14.78308,14.59081,14.64465,14.46878,14.60821,14.73562,14.57868,14.60821,14.6225,14.48774,14.49049,14.76479,14.50772,14.74931,14.61769
"LOC440737",12.32019,12.11408,12.47983,12.23756,12.57426,12.46809,12.62876,12.79476,12.43837,12.77353,12.41308,12.28592,12.59309,12.68507,12.61892,12.32272
"LOC440748",5.871592,4.668433,5.077392,4.966847,5.013953,5.025123,4.982003,4.693345,6.66924,5.105592,4.544887,4.745761,5.165045,5.198802,5.533873,4.854309
"LOC440776",6.397817,6.066815,6.0501,6.141307,5.867238,5.415177,5.608293,6.241669,6.174472,6.105691,5.922575,6.560548,6.131784,5.976551,5.801756,5.642245
"LOC440820",4.688666,4.601805,4.86682,4.730654,4.799447,4.665252,4.701493,4.487329,4.5471,4.641146,4.505304,4.715611,4.715003,4.636127,4.788904,4.743261
"LOC440836",5.452366,4.821072,4.897319,5.153315,5.189056,5.391755,4.93396,5.104771,4.863579,5.505947,5.142381,5.050925,5.459788,5.430185,5.114747,5.266583
"LOC440895",6.791477,6.310321,5.871593,6.064412,6.031268,6.359565,5.758274,6.095522,6.132836,6.732245,5.970551,5.53035,6.198883,6.413206,6.449365,6.037285
"LOC440900",5.803548,5.327621,5.606643,5.240662,5.068048,5.57858,5.659561,5.385679,5.191518,6.299605,5.001231,5.73897,5.678846,6.058099,5.765155,5.581427
"LOC440905",4.687841,4.717232,4.951431,4.885176,4.583324,4.836743,4.971762,4.614199,4.665775,4.615572,5.087049,5.446763,4.916351,4.569556,4.98889,4.479111
"LOC440926",12.13713,12.66595,12.10154,12.64693,12.293,12.17711,12.68191,11.70057,11.83112,12.07534,12.32748,12.67075,12.21912,11.86213,12.17365,12.47254
"LOC440927",13.04235,12.99371,13.54049,13.19903,13.21047,13.21047,13.58715,13.22924,13.34177,13.55758,13.32216,12.83066,13.22924,13.23281,13.38468,13.34177
"LOC440928",5.429147,4.913815,4.767863,5.460883,5.365972,5.291667,5.156864,4.777439,4.634874,5.121845,5.303403,5.798041,4.707835,4.657808,5.435924,4.881032
"LOC440957",7.805193,7.77503,7.755979,7.624233,7.66844,7.826649,8.172734,8.292253,7.930147,8.047515,7.762784,7.686149,8.025397,8.027362,8.219982,7.651505
"LOC440991",9.700162,10.15991,10.33444,10.71805,10.07233,10.23591,10.53034,9.971118,10.47656,10.96329,10.07162,9.82925,10.51584,10.78586,10.95358,9.999867
"LOC440993",6.613681,7.260988,6.750369,6.840233,6.230565,6.729374,5.592304,6.030025,7.501957,6.779752,5.905389,6.313408,8.011129,6.63466,7.261335,6.565133
"LOC440995",4.817734,5.390739,4.718707,5.124184,4.636496,4.596235,5.075356,4.422871,4.599209,4.43374,4.607342,4.404881,4.717943,4.687723,4.49348,4.566244
"LOC441007",4.759295,4.754597,5.140641,5.069765,5.342592,4.460332,5.003524,4.60087,4.673302,4.701977,4.641086,4.469649,4.520674,4.534931,4.769655,5.083704
"LOC441009",7.217291,7.854582,6.999629,6.921894,7.175711,7.250169,8.317931,7.011563,7.816891,7.821772,7.189123,7.673276,7.776138,7.112387,7.547418,7.123959
"LOC441013",10.29355,10.55347,10.80269,10.74964,10.84528,10.54901,10.82488,10.75141,10.90768,11.08946,10.58265,10.55798,10.74222,11.11238,11.07774,10.53319
"LOC441016",4.950602,4.813293,4.654543,5.088329,4.611632,5.040145,4.686764,4.698984,5.012058,4.474974,4.789971,5.006849,5.199744,4.852364,4.583808,4.969091
"LOC441018",5.675423,5.904921,4.594317,5.282064,5.148213,5.860288,5.564236,4.664991,5.920654,4.728967,4.622305,4.583054,5.560155,4.567991,6.085249,5.565466
"LOC441019",6.214145,6.275734,6.312023,6.311162,5.439151,6.521465,5.992884,6.959643,6.512161,6.237227,5.598234,6.024942,6.401285,5.954884,6.421707,6.19208
"LOC441032",8.032744,7.862533,8.273343,8.695162,8.095995,7.769513,7.991461,8.106646,7.942742,8.129824,8.347004,7.879659,8.513374,8.898159,8.500652,7.936605
"LOC441034",14.57464,14.53188,14.53188,14.62783,14.54508,14.52873,14.35207,14.57464,14.50482,14.43448,14.34073,14.63325,14.45017,14.60821,14.55201,14.56676
"LOC441046",5.682832,5.175244,5.3758,4.808844,5.131518,5.43336,4.975553,4.75798,5.400492,4.920027,4.919684,5.20029,5.630088,5.069765,5.859584,4.66364
"LOC441050",7.231278,6.946026,7.3472,6.890989,6.855829,7.001282,6.843777,6.757351,7.147167,6.793555,6.876686,6.863625,6.60437,6.929482,6.594709,6.751012
"LOC441061",4.807149,4.599997,4.700976,5.656243,4.496427,4.853518,4.929555,4.861944,5.36378,4.453182,5.106396,4.6797,6.918586,4.761921,4.651542,4.951741
"LOC441066",4.741587,5.073471,5.788844,5.537304,5.028447,5.301575,4.783536,5.838787,5.314634,5.276467,5.130999,5.391035,5.320629,5.526731,4.789648,5.147859
"LOC441073",11.86951,11.98846,11.80399,12.01799,12.03828,12.11442,12.19057,11.71431,12.1079,12.55734,11.90871,11.83081,11.94842,12.00148,12.42266,11.80978
"LOC441081",5.054267,5.128423,4.651503,5.038295,5.147321,5.15869,4.609772,4.901489,5.634861,4.487329,5.118756,5.193781,4.752908,5.338416,5.014114,5.233377
"LOC441087",10.61551,11.81886,11.54848,12.29113,11.85626,11.84778,11.09541,12.0973,11.52651,11.96176,12.63207,12.75975,11.70944,11.88182,11.31876,12.39646
"LOC441089",8.699666,8.115674,8.530726,7.913377,8.233506,8.762203,8.602585,8.417269,8.920676,8.42677,8.379413,8.584432,8.6752,8.634787,8.375244,8.232332
"LOC441114",6.157051,5.851982,4.823571,5.918969,5.517282,5.3758,6.213874,6.601544,4.868114,5.823165,5.407593,4.705219,5.997464,6.581871,6.002889,5.197909
"LOC441120",4.671105,4.923392,4.810081,5.10251,4.780782,4.813119,4.632644,4.605096,4.860468,4.715029,5.171402,4.766532,4.805791,4.746773,4.842515,4.595941
"LOC441124",4.749681,5.310662,4.975707,5.429178,5.374473,5.7571,5.283943,4.958963,5.444051,5.311339,5.480813,5.967726,5.255242,5.396,5.646689,5.469583
"LOC441126",4.770299,5.25695,4.605943,4.908258,5.09885,4.694304,4.957151,4.653789,4.742903,5.141337,4.552477,4.802744,4.94862,4.833054,4.808261,4.755659
"LOC441131",10.00576,9.443031,9.45202,9.193687,9.093405,9.765787,10.31707,9.207557,9.470581,9.987978,9.054764,9.525993,9.768366,9.204478,9.654632,9.441315
"LOC441136",4.633221,4.605699,4.957479,4.626988,4.551444,5.400358,4.547654,4.425543,5.085084,5.042344,4.655539,4.719628,4.791697,4.673849,5.627797,4.707604
