symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CR1-AS1	0.0025992179103331747	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021377580479099982	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000281969	0.002588717742608167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021291220586113314	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
IL9	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	0.5	0	1	0	0	0	0	No data	0.944259220670973	-0.7595947492648033	0	No data	No data	No data	No data	No data
SOD1	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	1	0	0	0	1	1	0.1883099999999999	No data	0.08428839341529493	-0.9577674726301943	-1	No data	No data	0	0.5	-1
NOTCH4	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	No data	1	0	0	1	0	No data	No data	-0.2050427172327568	-0.5346994805009405	0	-1	No data	0	0.5	0
LINC02086	0.002585758285262264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02126688017304714	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC5A9	0.002579543582584273	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02121576660302892	No data	No data	0	0	0	0	0	0.27312999999999976	No data	0.5061471139820797	0	0	No data	No data	0	1	0.5
IFT56	0.0025747949386612135	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021176710809658068	No data	No data	0	0	0	0	0	0.8194949999999999	No data	-0.22692227547405708	-0.8760413972358966	0	No data	No data	No data	-1	-1
DPEP1	0.0025695971408315112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021133960895933324	No data	1	0	0	0	1	0	0	No data	0.4625963742446344	No data	0	No data	No data	0	0.75	0
KLHDC7A	0.002558290809165578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021040970610605187	No data	No data	0	0	0	0	0	0	No data	0.6821212752656804	0	0	No data	No data	0	0.5	0
SIGLEC8	0.002558290809165578	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021040970610605187	No data	0.75	0	0	0	0	0	0	No data	0.18316315899145663	-0.25643454568809815	0	No data	No data	-0.20841749999999984	0.5	0.5
SPIC	0.0025573246431560043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021033024261996353	No data	No data	0	0	0	0	0	0	No data	-0.3602833923734111	-0.5445116783387607	0	No data	No data	0	1	0.5
LINC01305	0.002548686837412927	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020961981589236456	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
ENSG00000283286	0.00252035768179663	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020728985039895693	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
FGFR2	0.0025183486660192715	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020712461647880914	No data	1	0	1	1	1	1	0.8781950000000002	1	-0.7973536153365284	-0.9838098899912064	0	No data	-1	-0.2874549999999999	1	0
FOXD3-AS1	0.0025170327946027384	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02070163910507092	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PAPPA2	0.002514562993607705	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02068132592958502	No data	No data	0	1	0	0	0	0	No data	-0.5161491977495312	-0.7131418348536867	0	No data	No data	0	1	0.5
SPMIP5	0.0025115343381893343	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020656416388644926	No data	No data	0	0	0	0	0	0	No data	0.3448635132319233	No data	0	No data	No data	No data	1	0.5
IGLV2-8	0.0024984019901442226	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02054840781187348	No data	No data	1	1	0	0	1	No data	No data	No data	No data	No data	No data	No data	-0.8305074999999998	0.5	0
PRSS33	0.00248343957950224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020425347665054425	No data	No data	0	1	0	0	0	0	No data	0.5686601375286517	0	0	No data	No data	0	1	1
THSD7A	0.002481788304032771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020411766551250387	No data	No data	1	1	0	0	0	0.5262500000000003	No data	-0.8704938528860179	0	0	No data	No data	0	0.5	0
SEMA3B-AS1	0.002466797720984828	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020288474697088395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
PRSS41	0.0024545055433376657	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.020187376202856367	No data	No data	1	0	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0	0.5	1
ENSG00000278983	0.002425368115646587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019947731922573552	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC12A5-AS1	0.002422698830819584	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019925778068306838	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
CYP19A1	0.0024183132552915367	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019889708374640408	No data	1	0	0	1	1	0	0	1	-0.04188372577620336	-0.9636131472450856	0	-1	No data	0	1	0
IGLV2-33	0.002395899965418624	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0197053675749888	No data	No data	1	1	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.4067799999999998	0.5	0.5
IGKV3D-20	0.0023914822164432252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019669033266933065	No data	No data	1	1	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	-0.9137924999999999	0.5	0
PKD2L1	0.002386999168251035	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01963216189761107	No data	No data	1	0	0	0	0	0.1118000000000002	No data	0.39883309022713065	No data	0	No data	No data	0	0.5	0.5
DOCK4-AS1	0.0023777287958273827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01955591660406719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SLC24A3-AS1	0.0023746402936155706	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019530514845972805	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Metazoa_SRP	0.0023512248823800786	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0193379319785849	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	-0.0039849999999999495	No data	No data
IGKV3D-11	0.0023512248823800786	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0193379319785849	No data	No data	1	1	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	-0.9565225000000002	0.5	0
IGKV4-1	0.002348148844386666	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.019312632733954612	No data	No data	1	1	0	0	0	0.049584999999999727	No data	No data	No data	No data	No data	No data	-0.1528925000000001	0.5	0
